snsr_bdi_dt,tmnl_cd,snsr_dat_dstgs_id,snsr_dat_dstgs_nm,ilnd_que_len,que_brkaw_psg_wtng_psec_times,que_jing_psg_wtng_psec_times,dat_ldup_pgrm_id,dat_ldup_ymd
20260212000000,P01,3,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,3,Security Check of Departure Ga,8.0,147.0,70.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,3,Entrance West Departure Gates ,6.0,14.0,30.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,2,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,6,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,5,Security Check of Departure Ga,0.0,0.0,13.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,6,Security Check of Departure Ga,0.0,0.0,12.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,1,Entrance East Departure Gates ,0.0,0.0,17.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,4,Security Check of Departure Ga,1.0,608.0,90.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,1,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000000,P01,1,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,3,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,3,Security Check of Departure Ga,13.0,83.0,92.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,3,Entrance West Departure Gates ,0.0,10.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,2,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,6,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,6,Security Check of Departure Ga,0.0,0.0,12.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,5,Security Check of Departure Ga,0.0,0.0,13.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20260213
20260212000100,P01,4,Security Check of Departure Ga,1.0,608.0,90.0,PG_DSD_DTP_E_0004,20260213
