snsr_bdi_dt,tmnl_cd,snsr_dat_dstgs_id,snsr_dat_dstgs_nm,ilnd_que_len,que_brkaw_psg_wtng_psec_times,que_jing_psg_wtng_psec_times,dat_ldup_pgrm_id,dat_ldup_ymd
20250731000500,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,3,Entrance East Departure Gates ,0.0,157.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,6,Entrance East Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,1,Entrance East Departure Gates ,0.0,0.0,17.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,1,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,3,Security Check of Departure Ga,91.0,380.0,332.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,5,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,1,Entrance West Departure Gates ,0.0,0.0,7.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,4,Security Check of Departure Ga,1.0,229.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,2,Security Check of Departure Ga,1.0,129.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,3,Entrance West Departure Gates ,34.0,382.0,281.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,1,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,2,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,1,Security Check of Departure Ga,1.0,10.0,60.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000500,P02,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,1,Entrance East Departure Gates ,0.0,0.0,17.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,6,Entrance East Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,3,Entrance East Departure Gates ,0.0,1.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,1,Entrance West Departure Gates ,0.0,0.0,7.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,4,Security Check of Departure Ga,1.0,229.0,89.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,5,Security Check of Departure Ga,0.0,0.0,15.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,2,Security Check of Departure Ga,1.0,0.0,71.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,1,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,3,Security Check of Departure Ga,94.0,398.0,331.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,6,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,5,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,1,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,2,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,4,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,3,Entrance West Departure Gates ,26.0,241.0,190.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,2,Security Check of Departure Ga,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,4,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,1,Security Check of Departure Ga,1.0,10.0,60.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,6,Entrance West Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,5,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,6,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,2,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P01,3,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000600,P02,1,total,0.0,null,null,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,5,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,6,Entrance East Departure Gates ,0.0,0.0,10.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,1,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,4,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P01,1,Entrance East Departure Gates ,0.0,0.0,17.0,PG_DSD_DTP_E_0004,20250801
20250731000700,P02,2,Entrance East Departure Gates ,0.0,0.0,0.0,PG_DSD_DTP_E_0004,20250801
